ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
2,8,337,221.0,97.0,220.47477744807122,98.09495548961425,0,8
2,9,356,246.0,97.0,244.03370786516854,99.339887640449433,0,9
2,10,561,70.0,107.0,70.479500891265602,107.39393939393939,0,10
2,11,403,177.0,108.0,176.4317617866005,108.23821339950372,0,11
2,12,131,105.0,109.0,104.4885496183206,109.12213740458016,0,12
2,13,280,257.0,117.0,256.77499999999998,117.81785714285714,0,13
2,14,493,153.0,131.0,154.38336713995943,131.31845841784991,0,14
2,15,215,216.0,137.0,216.85116279069769,136.2232558139535,0,15
2,16,483,72.0,142.0,72.161490683229815,142.1904761904762,0,16
2,17,818,246.0,141.0,243.3997555012225,143.63080684596576,0,17
2,18,573,162.0,160.0,163.36474694589879,159.65095986038395,0,18
2,19,418,94.0,165.0,94.122009569377994,164.73923444976077,0,19
2,20,442,256.0,169.0,256.18552036199094,168.80769230769232,0,20
2,21,422,214.0,174.0,214.31990521327015,174.43601895734596,0,21
2,22,298,124.0,181.0,124.11409395973155,180.6778523489933,0,22
2,23,517,94.0,203.0,93.829787234042556,203.12959381044487,0,23
2,24,305,256.0,204.0,255.90163934426229,204.95737704918034,0,24
2,25,538,231.0,204.0,232.45539033457248,207.61524163568774,0,25
2,26,267,173.0,214.0,172.71161048689137,213.9625468164794,0,26
2,27,702,116.0,225.0,115.17378917378917,222.56980056980058,0,27
2,28,272,156.0,232.0,156.1764705882353,232.75735294117646,0,28
2,29,103,187.0,231.0,186.97087378640776,231.54368932038835,0,29
2,30,141,190.0,241.0,190.39007092198582,240.29787234042553,0,30
2,31,377,231.0,238.0,230.64456233421751,238.93103448275863,0,31
2,32,330,217.0,252.0,216.81515151515151,251.57878787878789,0,32
2,33,429,143.0,256.0,143.39627039627041,257.73426573426576,0,33
2,34,403,177.0,259.0,177.287841191067,258.56079404466499,0,34
2,35,260,198.0,268.0,197.88076923076923,267.1653846153846,0,35
3,1,614,101.0,45.0,98.516286644951137,44.781758957654723,0,1
