,ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Border
47,2,24,305,256.0,204.0,255.90163934426226,204.95737704918037,0,24,1.0
48,2,25,538,231.0,204.0,232.45539033457248,207.6152416356877,0,25,0.0
49,2,26,267,173.0,214.0,172.71161048689137,213.9625468164794,0,26,0.0
50,2,27,702,116.0,225.0,115.17378917378916,222.56980056980058,0,27,1.0
51,2,28,272,156.0,232.0,156.17647058823533,232.75735294117646,0,28,0.0
52,2,29,103,187.0,231.0,186.97087378640774,231.54368932038838,0,29,0.0
53,2,30,141,190.0,241.0,190.39007092198585,240.29787234042556,0,30,0.0
54,2,31,377,231.0,238.0,230.64456233421754,238.93103448275863,0,31,1.0
55,2,32,330,217.0,252.0,216.8151515151515,251.5787878787879,0,32,1.0
56,2,33,429,143.0,256.0,143.3962703962704,257.73426573426576,0,33,1.0
57,2,34,403,177.0,259.0,177.287841191067,258.56079404466493,0,34,1.0
58,2,35,260,198.0,268.0,197.88076923076923,267.1653846153846,0,35,1.0
59,3,1,614,101.0,45.0,98.51628664495114,44.781758957654716,0,1,1.0
60,3,2,562,139.0,45.0,139.08718861209965,46.829181494661924,0,2,1.0
61,3,3,238,120.0,65.0,120.37394957983193,63.710084033613455,0,3,0.0
62,3,4,408,78.0,64.0,77.46568627450979,67.25490196078431,0,4,1.0
63,3,5,818,176.0,73.0,176.33985330073344,74.50488997555011,0,5,1.0
64,3,6,461,50.0,75.0,50.37527114967462,74.1995661605206,0,6,1.0
65,3,7,279,93.0,74.0,92.5089605734767,73.2258064516129,0,7,0.0
66,3,8,354,144.0,87.0,144.5169491525424,88.12994350282486,0,8,0.0
67,3,9,321,42.0,97.0,42.305295950155774,96.76635514018692,0,9,1.0
68,3,10,482,115.0,96.0,115.61203319502073,96.16597510373444,0,10,0.0
69,3,11,722,190.0,109.0,186.0637119113573,108.59279778393352,0,11,1.0
70,3,12,312,121.0,119.0,121.78205128205127,117.85897435897436,0,12,0.0
71,3,13,798,52.0,125.0,52.19298245614035,127.32706766917292,0,13,1.0
72,3,14,456,144.0,133.0,143.51754385964912,133.375,0,14,0.0
73,3,15,738,184.0,143.0,183.559620596206,143.0230352303523,0,15,1.0
74,3,16,355,110.0,150.0,111.11830985915493,150.0816901408451,0,16,0.0
75,3,17,103,156.0,155.0,155.5728155339806,154.77669902912618,0,17,0.0
76,3,18,615,71.0,164.0,70.3869918699187,164.43739837398374,0,18,1.0
77,3,19,365,124.0,166.0,124.22191780821915,165.97808219178086,0,19,0.0
78,3,20,487,172.0,174.0,171.9568788501027,174.5975359342916,0,20,1.0
79,3,21,498,147.0,175.0,148.0481927710843,177.63453815261045,0,21,1.0
80,3,22,355,84.0,184.0,85.13521126760563,184.44788732394366,0,22,1.0
81,3,23,405,122.0,191.0,121.66666666666669,190.4740740740741,0,23,1.0
82,4,1,496,74.0,44.0,73.50806451612904,47.91532258064516,0,1,1.0
83,4,2,278,49.0,48.0,49.345323741007185,48.0,0,2,1.0
84,4,3,433,105.0,49.0,104.95381062355658,49.55196304849885,0,3,1.0
85,4,4,576,135.0,60.0,132.41319444444446,58.751736111111114,0,4,1.0
86,4,5,516,55.0,64.0,55.542635658914726,63.80038759689922,0,5,0.0
87,4,6,315,157.0,69.0,153.7206349206349,72.45079365079366,0,6,1.0
88,4,7,229,54.0,87.0,54.3580786026201,86.7467248908297,0,7,0.0
89,4,8,160,175.0,85.0,174.725,84.48749999999998,0,8,1.0
90,4,9,86,166.0,87.0,166.38372093023256,87.34883720930235,0,9,1.0
91,4,10,392,87.0,87.0,84.43622448979592,90.73979591836736,0,10,0.0
92,4,11,577,34.0,90.0,34.36741767764298,90.61178509532063,0,11,1.0
93,4,12,448,115.0,94.0,114.88839285714286,93.75892857142858,0,12,0.0
94,4,13,230,161.0,96.0,161.0,95.50434782608696,0,13,0.0
95,4,14,409,185.0,99.0,185.3520782396088,99.51344743276285,0,14,1.0
96,4,15,328,135.0,103.0,135.46341463414637,103.55182926829269,0,15,0.0
97,4,16,348,98.0,107.0,98.54310344827586,106.64080459770115,0,16,0.0
98,4,17,84,163.0,115.0,163.75,115.9404761904762,0,17,0.0
99,4,18,317,74.0,119.0,74.0031545741325,119.57413249211358,0,18,0.0
100,4,19,300,125.0,119.0,125.3,118.99333333333334,0,19,0.0
101,4,20,545,26.0,120.0,28.348623853211013,120.18348623853213,0,20,1.0
102,4,21,168,185.0,120.0,188.19047619047618,119.5,0,21,1.0
103,4,22,331,99.0,133.0,98.58912386706949,132.8036253776435,0,22,0.0
104,4,23,170,73.0,142.0,73.75882352941179,141.63529411764705,0,23,0.0
105,4,24,313,27.0,147.0,26.389776357827483,145.3450479233227,0,24,1.0
106,4,25,457,137.0,150.0,133.19037199124728,148.2494529540481,0,25,0.0
107,4,26,713,192.0,142.0,190.40112201963532,145.02524544179522,0,26,1.0
108,4,27,130,82.0,149.0,82.38461538461537,148.22307692307692,0,27,0.0
109,4,28,649,41.0,164.0,41.56240369799692,163.75346687211098,0,28,1.0
110,4,29,211,122.0,163.0,121.24170616113743,162.65876777251185,0,29,0.0
111,4,30,336,178.0,171.0,179.23809523809524,170.58630952380952,0,30,1.0
112,4,31,323,93.0,186.0,91.59133126934984,186.62848297213628,0,31,1.0
113,4,32,219,50.0,184.0,49.85388127853882,184.08675799086757,0,32,1.0
114,4,33,315,132.0,186.0,132.88888888888889,189.06984126984128,0,33,1.0
115,4,34,603,157.0,192.0,156.66832504145938,192.6865671641791,0,34,1.0
116,4,35,884,71.0,192.0,81.3970588235294,198.41628959276017,0,35,1.0
117,4,36,577,116.0,201.0,117.29116117850953,201.98786828422882,0,36,1.0
118,5,1,415,98.0,31.0,96.45542168674697,30.97349397590361,0,1,1.0
119,5,2,311,114.0,40.0,114.91318327974278,39.29903536977492,0,2,1.0
120,5,3,382,70.0,42.0,70.52094240837697,42.02094240837696,0,3,1.0
121,5,4,354,139.0,42.0,140.0536723163842,41.87005649717513,0,4,1.0
122,5,5,236,92.0,56.0,92.13983050847456,55.9364406779661,0,5,0.0
123,5,6,328,52.0,62.0,52.07926829268293,61.95426829268293,0,6,1.0
124,5,7,509,147.0,64.0,146.99607072691552,63.43222003929273,0,7,1.0
125,5,8,401,118.0,67.0,119.55860349127182,69.19451371571073,0,8,0.0
126,5,9,231,43.0,78.0,43.34199134199134,77.80952380952381,0,9,1.0
127,5,10,353,89.0,78.0,89.11898016997169,78.08215297450425,0,10,0.0
128,5,11,495,166.0,82.0,166.74949494949496,82.58989898989898,0,11,1.0
129,5,12,322,63.0,83.0,63.596273291925456,83.98447204968943,0,12,0.0
130,5,13,447,142.0,97.0,142.30648769574944,95.917225950783,0,13,0.0
131,5,14,288,115.0,98.0,115.21180555555556,98.43055555555556,0,14,0.0
132,5,15,567,45.0,102.0,45.885361552028215,103.1463844797178,0,15,1.0
133,5,16,79,96.0,109.0,95.4177215189873,108.63291139240508,0,16,0.0
134,5,17,401,171.0,111.0,170.30174563591024,111.30423940149626,0,17,1.0
135,5,18,475,71.0,118.0,70.62315789473685,117.69263157894736,0,18,1.0
136,5,19,434,131.0,119.0,130.16589861751152,120.49308755760369,0,19,0.0
137,5,20,494,100.0,132.0,96.40080971659918,131.50404858299595,0,20,0.0
138,5,21,440,155.0,132.0,155.8840909090909,132.3909090909091,0,21,1.0
139,5,22,378,78.0,151.0,78.7037037037037,151.1825396825397,0,22,1.0
140,5,23,342,121.0,151.0,120.60526315789473,151.21052631578948,0,23,1.0
141,5,24,318,101.0,156.0,101.188679245283,155.33962264150944,0,24,1.0
142,6,1,467,93.0,15.0,93.1713062098501,14.77730192719486,0,1,1.0
143,6,2,727,125.0,27.0,126.09215955983494,24.86519944979367,0,2,1.0
144,6,3,505,61.0,41.0,63.42970297029703,40.443564356435644,0,3,1.0
145,6,4,402,150.0,39.0,149.0746268656716,39.475124378109456,0,4,1.0
146,6,5,559,172.0,56.0,171.11806797853313,55.95706618962433,0,5,1.0
147,6,6,557,82.0,62.0,80.9605026929982,62.50987432675045,0,6,0.0
148,6,7,514,114.0,71.0,114.4182879377432,71.15369649805447,0,7,0.0
149,6,8,595,57.0,78.0,65.56974789915967,79.17142857142858,0,8,1.0
150,6,9,498,179.0,79.0,174.58433734939757,78.84738955823293,0,9,1.0
151,6,10,263,140.0,87.0,140.10266159695817,87.02281368821293,0,10,0.0
152,6,11,482,158.0,105.0,161.22614107883817,103.41908713692945,0,11,0.0
153,6,12,464,59.0,104.0,63.76077586206897,103.71551724137932,0,12,1.0
154,6,13,612,190.0,119.0,190.83660130718957,118.17156862745098,0,13,1.0
155,6,14,488,140.0,127.0,139.6127049180328,127.26639344262294,0,14,0.0
156,6,15,285,57.0,129.0,57.90175438596491,129.66666666666666,0,15,1.0
157,6,16,372,97.0,133.0,99.0779569892473,132.3279569892473,0,16,0.0
158,6,17,155,114.0,140.0,113.09677419354837,138.75483870967741,0,17,0.0
159,6,18,684,171.0,148.0,169.63011695906434,148.8684210526316,0,18,1.0
160,6,19,423,72.0,157.0,71.41843971631205,156.1678486997636,0,19,1.0
161,6,20,629,105.0,166.0,103.7631160572337,165.97297297297297,0,20,1.0
162,6,21,615,135.0,167.0,132.67154471544714,168.13983739837397,0,21,1.0
